"";"other";"chitinolytic"
"OSBS_002-M-5-26-20140701";0.949190364852355;0.0508096351476447
"OSBS_003-M-17-9-20140701";0.957590763508956;0.0424092364910438
"OSBS_003-M-17-9-20140818";0.956429396368924;0.0435706036310764
"OSBS_003-M-29-37-20140701";0.95615827882108;0.0438417211789205
"OSBS_003-M-29-37-20140818";0.956429744646201;0.043570255353799
"OSBS_003-M-9-11-20140701";0.956487028303937;0.043512971696063
"OSBS_003-M-9-11-20140818";0.954368956796482;0.0456310432035177
"OSBS_022-M-15-33-20140701";0.962844643393664;0.0371553566063362
"OSBS_022-M-21-39-20140701";0.964084936500943;0.0359150634990571
"OSBS_022-M-2-33-20140701";0.962720485691442;0.0372795143085582
"SCBI_002-M-1-6-20140715";0.942800079048736;0.0571999209512636
"SCBI_002-M-26-3-20140618";0.94182220886592;0.0581777911340804
"SCBI_002-M-7-5-20140715";0.944525891148139;0.0554741088518609
"SCBI_002-M-9-17-20140715";0.94157924995753;0.0584207500424702
"SCBI_003-M-11-0-20140715";0.94257627094323;0.05742372905677
"SCBI_003-M-13-6-20140618";0.940091086330653;0.0599089136693473
"SCBI_003-M-27-36-20140715";0.941177683829034;0.0588223161709664
"SCBI_003-M-30-5-20140715";0.950357248574549;0.0496427514254514
"SCBI_003-M-35-24-20140618";0.936114723036319;0.063885276963681
"SCBI_003-M-5-26-20140618";0.931618654456812;0.0683813455431879
"SCBI_006-M-15-7-20140827";0.94589896785976;0.05410103214024
"SCBI_006-M-1-7-20140715";0.940802785914725;0.0591972140852745
"SCBI_006-M-17-9-20140618";0.941060806895417;0.0589391931045826
"SCBI_006-M-27-2-20140715";0.941017597609061;0.0589824023909391
"SCBI_006-M-29-37-20140618";0.944109972164108;0.0558900278358924
"SCBI_006-M-3-26-20140715";0.945169387340685;0.0548306126593153
"SCBI_006-M-33-11-20140826";0.945212711163474;0.0547872888365259
"SCBI_006-M-4-7-20140826";0.945684677734439;0.0543153222655605
