"";"other";"nitrification"
"SCBI_012-M-2-33-20140618";0.992591531217978;0.00740846878202146
"SCBI_012-M-33-4-20140715";0.992623445756933;0.00737655424306694
"SCBI_033-M-36-16-20140826";0.992864460806122;0.00713553919387812
"SCBI_033-M-4-38-20140826";0.993258468459501;0.00674153154049902
"SCBI_033-M-6-12-20140826";0.993251397849959;0.00674860215004125
"SCBI_045-M-23-30-20140825";0.99343039321006;0.00656960678993962
"SCBI_045-M-30-38-20140825";0.993411022287697;0.00658897771230289
"STER_005-M-0-30-20140820";0.993440575887947;0.00655942411205344
"STER_005-M-16-7-20140820";0.993117100306577;0.00688289969342284
"STER_005-M-23-38-20140820";0.993324671839712;0.00667532816028844
"STER_006-M-1-6-20140722";0.994520634118357;0.00547936588164345
"STER_006-M-22-32-20140820";0.99440018382896;0.00559981617103974
"STER_006-M-30-37-20140820";0.994527001319055;0.00547299868094532
"STER_006-M-7-0-20140820";0.994296503041764;0.00570349695823583
"STER_006-M-7-5-20140722";0.994417259575128;0.00558274042487203
"STER_018-M-15-7-20140820";0.993955269850921;0.00604473014907893
"STER_018-M-4-7-20140820";0.994407982547065;0.00559201745293453
"STER_026-M-10-34-20140820";0.994150510851949;0.00584948914805122
"STER_026-M-11-0-20140722";0.994376287785118;0.00562371221488183
"STER_026-M-25-6-20140820";0.994415890028024;0.00558410997197599
"STER_026-M-27-36-20140722";0.99433898535301;0.00566101464698978
"STER_026-M-30-5-20140723";0.994328602072236;0.00567139792776377
"STER_026-M-9-4-20140820";0.994496527809127;0.00550347219087337
"STER_027-M-33-0-20140723";0.993770414416857;0.0062295855831435
