samples,latitude,longitude,depth_max,forest,map,map_sd,mat,mat_sd,map_CV,mat_CV,mdr,aridity,NPP,relEM,pH
ram_samp_1219,64.49,-157.75,7.5,0,0.344,0.050066853,-3.170833243,1.236428722,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1220,64.49,-157.75,0.3,0,0.344,0.04767121,-3.170833243,1.243170657,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1221,64.49,-157.75,0.3,0,0.344,0.047254921,-3.170833243,1.25450648,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1222,64.49,-157.75,7.5,0,0.344,0.047246602,-3.170833243,1.298955842,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1223,64.49,-157.75,0.3,0,0.344,0.047420772,-3.170833243,1.221196569,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.56
ram_samp_1224,64.49,-157.75,0.95,0,0.344,0.047964332,-3.170833243,1.276169922,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1225,64.49,-157.75,0.7,0,0.344,0.048627714,-3.170833243,1.256357654,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1226,64.49,-157.75,0.95,0,0.344,0.04714088,-3.170833243,1.251493874,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1227,64.49,-157.75,7.5,0,0.344,0.048772679,-3.170833243,1.207557997,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1228,64.49,-157.75,0.7,0,0.344,0.047916711,-3.170833243,1.202886849,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1229,64.49,-157.75,0.7,0,0.344,0.046880759,-3.170833243,1.195018444,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1230,64.49,-157.75,0.95,0,0.344,0.048241584,-3.170833243,1.246734888,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1231,64.49,-157.75,1,0,0.344,0.049082454,-3.170833243,1.254080482,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1232,64.49,-157.75,7.5,0,0.344,0.045659233,-3.170833243,1.253397496,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1233,64.49,-157.75,0.95,0,0.344,0.047135532,-3.170833243,1.266789254,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1234,64.49,-157.75,0.95,0,0.344,0.050022303,-3.170833243,1.238297835,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1235,64.49,-157.75,1,0,0.344,0.047045134,-3.170833243,1.278778562,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1236,64.49,-157.75,0.95,0,0.344,0.047995093,-3.170833243,1.284437628,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1237,64.49,-157.75,0.95,0,0.344,0.048720952,-3.170833243,1.313871196,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1238,64.49,-157.75,1,0,0.344,0.047358151,-3.170833243,1.248725704,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1239,64.49,-157.75,0.95,0,0.344,0.046586417,-3.170833243,1.251245795,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1240,64.49,-157.75,0.95,0,0.344,0.049481308,-3.170833243,1.205783926,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1241,64.49,-157.75,0.95,0,0.344,0.046960369,-3.170833243,1.258820809,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1242,64.49,-157.75,0.7,0,0.344,0.0492336,-3.170833243,1.241873603,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1243,64.49,-157.75,0.7,0,0.344,0.049061447,-3.170833243,1.176654155,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1244,64.49,-157.75,0.7,0,0.344,0.047610043,-3.170833243,1.240060071,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1245,64.49,-157.75,0.7,0,0.344,0.047535214,-3.170833243,1.194410181,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1246,64.49,-157.75,0.7,0,0.344,0.046915053,-3.170833243,1.273471203,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1247,64.49,-157.75,7.5,0,0.344,0.048082608,-3.170833243,1.230538741,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1248,64.49,-157.75,0.7,0,0.344,0.047662497,-3.170833243,1.288291399,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1249,64.49,-157.75,1,0,0.344,0.049800449,-3.170833243,1.242279456,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1250,64.49,-157.75,0.7,0,0.344,0.048365984,-3.170833243,1.240227525,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1251,64.49,-157.75,0.95,0,0.344,0.047279488,-3.170833243,1.265480147,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1252,64.49,-157.75,0.7,0,0.344,0.048102349,-3.170833243,1.228864513,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1253,64.49,-157.75,0.7,0,0.344,0.047517428,-3.170833243,1.235757678,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1254,64.49,-157.75,1,0,0.344,0.045022273,-3.170833243,1.273795567,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1255,64.49,-157.75,1,0,0.344,0.04923231,-3.170833243,1.324181917,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1256,64.49,-157.75,0.95,0,0.344,0.049845961,-3.170833243,1.238206225,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1257,64.49,-157.75,0.95,0,0.344,0.047837514,-3.170833243,1.262280578,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,5.16
ram_samp_1258,64.49,-157.75,0.7,0,0.344,0.047539954,-3.170833243,1.215914216,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
ram_samp_1259,64.49,-157.75,0.7,0,0.344,0.048662406,-3.170833243,1.189959979,54.03463277,1402.952183,8.55833357,0.810000002,0.340000004,0.985403597,6.2
