"";"siteID";"study_id";"plotID";"sampleID";"pH";"pC";"cn";"deprecatedVialID";"relEM";"map";"mat";"ndep.glob";"NPP";"forest"
"HARV_021-M-3-37-20140717";"HARV";200;"HARV_021";"HARV_021-M-3-37-20140717";4.58623654932062;5.3;26.1;"HARV.021.39.3.37.M.20140717";6.28519554944233;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_021-M-36-16-20140717";"HARV";200;"HARV_021";"HARV_021-M-36-16-20140717";4.58623654932062;8.92;30.1;"HARV.021.23.36.16.M.20140717";6.28519554944233;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_021-M-6-12-20140717";"HARV";200;"HARV_021";"HARV_021-M-6-12-20140717";4.58623654932062;10.35;26;"HARV.021.21.6.12.M.20140717";6.28519554944233;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_021-O-3-37-20140717";"HARV";200;"HARV_021";"HARV_021-O-3-37-20140717";4.58623654932062;7.87;27.3;"HARV.021.39.3.37.O.20140717";6.28519554944233;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_021-O-36-16-20140717";"HARV";200;"HARV_021";"HARV_021-O-36-16-20140717";4.58623654932062;7.88865078409851;26.3410776492978;"HARV.021.23.36.16.O.20140717";6.28519554944233;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_033-M-23-30-20140717";"HARV";200;"HARV_033";"HARV_033-M-23-30-20140717";4.58623654932062;5.68;20.2;"HARV.033.41.23.30.M.20140717";1.14952815410347;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_033-M-30-38-20140717";"HARV";200;"HARV_033";"HARV_033-M-30-38-20140717";4.58623654932062;4.53;17.6;"HARV.033.41.30.38.M.20140717";1.14952815410347;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_033-M-33-4-20140717";"HARV";200;"HARV_033";"HARV_033-M-33-4-20140717";4.58623654932062;5.98;18.9;"HARV.033.23.33.4.M.20140717";1.14952815410347;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_033-O-23-30-20140717";"HARV";200;"HARV_033";"HARV_033-O-23-30-20140717";4.58623654932062;43.1;24.8;"HARV.033.41.23.30.O.20140717";1.14952815410347;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_033-O-30-38-20140717";"HARV";200;"HARV_033";"HARV_033-O-30-38-20140717";4.58623654932062;42.26;22.5;"HARV.033.41.30.38.O.20140717";1.14952815410347;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_034-M-23-8-20140717";"HARV";200;"HARV_034";"HARV_034-M-23-8-20140717";4.58623654932062;5.19;22.4;"HARV.034.23.23.8.M.20140717";2.30555297099366;1.105;7.47083342075348;8.907954;0.626999974250793;1
