"","mean.other","mean.Mortierellaceae","mean.Piskurozymaceae","mean.Trimorphomycetaceae","mean.Umbelopsidaceae","mean.Russulaceae","mean.Hypocreaceae","mean.Aspergillaceae","mean.Herpotrichiellaceae","mean.Clavulinaceae","mean.Chaetomiaceae","mean.Atheliaceae","mean.Cortinariaceae","mean.Inocybaceae","mean.Sebacinaceae","mean.Helotiaceae","mean.Thelephoraceae","mean.Tricholomataceae","mean.Pyronemataceae","mean.Gloniaceae","mean.Helotiales_fam_Incertae_sedis"
"TALL_002-M-31-34-20140804",0.299606020373925,0.0984949566783685,0.0143257501995956,0.0208522246122123,0.044681870866186,0.0316770666940511,0.0269325155409898,0.0269854202548795,0.0606963963317926,0.0212012400190246,0.0188777272670782,0.0214719840680143,0.0443690351622974,0.0780340120149173,0.0208671992121057,0.0225061266028508,0.0538343419186355,0.0265050800630383,0.0260283816156711,0.0195059883962183,0.0225466621081486
"TALL_002-M-9-4-20140708",0.301041540188356,0.104020662960525,0.0155221176515484,0.0216050863252524,0.0478661054977363,0.033043619967593,0.0276375109983986,0.0271101434976107,0.0608368011653772,0.0206993585818968,0.0190297960330977,0.0217682498129094,0.0437697493367104,0.0692827496269435,0.0192268244254586,0.0232434994435129,0.0498262217575354,0.0265455626074671,0.0254697133834216,0.0196128235866147,0.0228418631520343
"TALL_002-O-10-34-20140708",0.287334767705241,0.0748113748245238,0.00964408515813036,0.0169477981685332,0.0363854947555433,0.0239963590583321,0.024120345363924,0.0262480879576544,0.0628396537187317,0.0228643833428194,0.0167331399045818,0.021814411964522,0.0525336809142934,0.116594408514418,0.0251553088052489,0.0210580176944761,0.0670026630129106,0.0262858599637501,0.0277689143223247,0.0194331129863795,0.0204281318636616
"TALL_003-M-24-40-20140707",0.326432161352157,0.197847450330041,0.020374070126686,0.0253208244570377,0.0365749012171175,0.00635912380701468,0.0349204878537503,0.0306550401090233,0.0546469235314233,0.0169676740360403,0.0287135049217308,0.0101439470952707,0.0151935956663863,0.0398911955870381,0.0177911851259561,0.0185959345351563,0.0214228187082469,0.026986004246666,0.0246892398496791,0.015179402233161,0.0312945152104173
"TALL_003-M-33-2-20140707",0.321049615615266,0.200594207895257,0.0202022120057601,0.0242566776495106,0.0509430119589012,0.00606464278453203,0.0353834396452177,0.0301625798571682,0.0602696610416982,0.0148195469214376,0.0252483314971428,0.0114315981756664,0.0213220528131079,0.0325038208781943,0.0123897006368225,0.0224145069170734,0.0173197269976881,0.0258124781306681,0.0227686615613913,0.015082469856829,0.0299610571606682
"TALL_003-M-6-5-20140707",0.308064439427088,0.238660371967034,0.0279051895495655,0.0285351362417854,0.0478288760601034,0.00750457138187123,0.0366170864752207,0.0293714695112288,0.0513817793546467,0.0139805323135839,0.0280652745275576,0.00994718835697149,0.0137347020073484,0.0214791379543678,0.0115214061491895,0.0200374610484789,0.0141757031775952,0.0251877675713432,0.0206749993170117,0.0143100323316918,0.031016875276317
"TALL_003-O-24-40-20140707",0.330766109398656,0.17364686974041,0.0162503234052037,0.0225127303410402,0.0331394856464549,0.00558117033928994,0.0334120773709584,0.0307104213592358,0.0569457904080387,0.017923888210605,0.0278808971507823,0.0102090337464249,0.0177554435456149,0.0577143009639485,0.0210734570237628,0.0182933453232355,0.0262900841315113,0.0269333610106553,0.0266632538473241,0.0153560074595276,0.0309419495773198
"TALL_004-M-0-13-20140804",0.259160564451341,0.0701960179102308,0.0133751234931597,0.0194640642946449,0.0464176141349809,0.0758783570753826,0.022984544457448,0.023860530456569,0.0564441309117021,0.0220735684448389,0.0151947092876259,0.0290140692086882,0.0609904713947046,0.0811158470006206,0.0202937180685489,0.0229146713930162,0.0725286202259112,0.0248450119796331,0.0242422242872413,0.0208043126852078,0.0182018288385042
"TALL_004-M-14-17-20140708",0.260191745547091,0.0734452017760143,0.0143996551932113,0.0200675415371092,0.0556437907630772,0.0771762591794034,0.023587660477875,0.0242452191291408,0.0599837232487045,0.0210217144406354,0.0144196143866542,0.0316080377841359,0.0668625752292467,0.0654642264306486,0.0165866353468043,0.0253043148508428,0.062471929926335,0.0251637743796125,0.0231395679502132,0.0212704036887674,0.0179464087344775
"TALL_004-M-14-6-20140804",0.259738301032543,0.0717711691714053,0.0140191067747463,0.019801835439527,0.0480504364579671,0.0777882503228512,0.0231427859370297,0.0237942821837394,0.0570225346326453,0.0218448523169961,0.0151727764204193,0.0295398202930156,0.0613390180437665,0.0758109003012014,0.019690888039291,0.023525343551705,0.0697491329769352,0.0249517851614772,0.0240326051788978,0.0209322714444845,0.0182819043193561
"TALL_004-M-24-15-20140708",0.261097640317205,0.0775357412408322,0.0157040951512264,0.0211647243569548,0.0549787800821775,0.0820798391692149,0.0240017879108795,0.0242589823990727,0.0587922853934687,0.0211410847696196,0.0150654804597232,0.0311868716870916,0.0615823843543572,0.0606963360857332,0.0169602710627131,0.0247718322314462,0.0610274992956519,0.0253710820315736,0.0230764899667666,0.0212148855963829,0.0182919064379089
"TALL_004-M-28-3-20140804",0.260467387420336,0.073262989352169,0.0143442426840797,0.0202544561240892,0.0492033146282732,0.0784691996687123,0.0233488677784106,0.0240454303069645,0.0575078856551426,0.0218510470424308,0.0152130445477255,0.0295751076282676,0.0603822153367287,0.0728598079264022,0.0191525539090624,0.0234271542126945,0.0684756832274569,0.0249112834918876,0.0238540274697531,0.0210291296331054,0.018365171956308
"TALL_004-M-33-11-20140708",0.259015689565939,0.0706032849415119,0.0136446104803935,0.0194084628739644,0.0545359911367859,0.0746220993856678,0.0232258220936712,0.0240918888100239,0.0602791866981751,0.0211467374795262,0.0141423382104416,0.0317888574877826,0.069541754223147,0.0697164214351636,0.0169199891962003,0.0252659096922698,0.064565236005124,0.0251323452038676,0.0234088641202467,0.021240836383035,0.0177036745770634
"TALL_006-M-0-30-20140707",0.30326947966278,0.104018847753051,0.0151445720000206,0.0214919427803701,0.0443525622358925,0.0309141726544941,0.0275822011276461,0.0272597094679849,0.0599754200868842,0.0211540468091487,0.019563253200274,0.0207804447227727,0.0408739250528731,0.0738629027070366,0.020717016943381,0.0223041460479491,0.051480888820786,0.0266512521202979,0.0260267498887846,0.0194167523795628,0.0231597135380101
"TALL_006-M-13-32-20140804",0.303152168344609,0.107366497278735,0.0160081446582486,0.0221303144971214,0.0456515807171543,0.0319436652468526,0.0279111548474221,0.0272671337490171,0.0598682010846261,0.0210031918967542,0.019721748903193,0.0209233728049908,0.0405921944905424,0.0686077445947803,0.0202734095261231,0.0225508134757087,0.0497839187726322,0.0268031507771993,0.0256375292386045,0.0194248709076905,0.0233791941879943
"TALL_006-M-16-7-20140707",0.303813446290479,0.123761124895157,0.0200618543879985,0.0253386677452296,0.0344938225713357,0.0392040369196624,0.0288032776221156,0.0270475533132028,0.0494786132150218,0.0217833730286872,0.0242234358775755,0.0166333158386264,0.0234245931605907,0.0677640759546405,0.0255035594351077,0.0182257095539525,0.0531755773036659,0.0266138758447344,0.0259838929277287,0.0186109910327139,0.0260552030817751
"TALL_006-M-23-38-20140707",0.298584574263707,0.0979255314645287,0.0138962149145309,0.0204621219130256,0.0561812999348237,0.0277485546532475,0.0273683587365961,0.0274673725771761,0.0680807878106691,0.0202113919547379,0.0169099993404628,0.0246431529221418,0.0564308051714306,0.0633272494291202,0.0162099526433722,0.0260560658888446,0.0449110040145719,0.0271756247399876,0.0249491613058729,0.0200608317998531,0.0213999445212996
"TALL_006-M-30-27-20140804",0.29725074948124,0.0927000213960143,0.012683454191168,0.0194518462001576,0.0356134709142217,0.0279637209784383,0.0259267905149506,0.0264007930616421,0.0570108999540287,0.0220784365502021,0.0197464553333581,0.0189269046680036,0.0395718070070876,0.101815406834055,0.0257919148441454,0.0200130039250918,0.0621532018697599,0.0257782527395687,0.0273109957992674,0.0187843307230975,0.0230275430145019
"TALL_007-M-2-0-20140708",0.316789788488078,0.146191964897886,0.0205549776936728,0.0255203880607155,0.0388246964688853,0.0232567375565506,0.0310855994848909,0.0283486961497204,0.052937814519146,0.0198229412922031,0.0251597727714008,0.0149471845102336,0.0226751919312039,0.0561967405550446,0.02128969391127,0.0194747305858408,0.0392692580075407,0.026773079509697,0.0254571105479561,0.0177456660098823,0.0276779670481814
"TALL_007-M-39-30-20140708",0.314189368717178,0.161197410485546,0.0241966065087207,0.027635155155481,0.0434830157392997,0.0252813604056317,0.0321779592149745,0.028381212906551,0.0523718853200606,0.0188672505139363,0.0253350835576017,0.015217818802354,0.0212906885777534,0.0422013308261205,0.0182231167222394,0.0202477016471359,0.0332064360601307,0.0268775912707512,0.0240443231114491,0.0177081885865742,0.0278664958705113
"TALL_007-M-8-11-20140708",0.316735341318802,0.142218727846932,0.0195613495233264,0.0249116930407426,0.0370688248249375,0.0226859061703064,0.0307533001176311,0.0282040222109084,0.0527097636169478,0.0200554725457408,0.0251966097180552,0.0146295079500275,0.0228116860683768,0.0618256610941331,0.0224294839480988,0.0190646206168581,0.0414027254218335,0.0265747070798963,0.0258683234939175,0.0176343341830605,0.0276579392094682
