"","mean.other","mean.Mortierellomycota","mean.Basidiomycota","mean.Mucoromycota","mean.Ascomycota"
"ORNL_021-O-15-33-20140714",0.0691058288446929,0.221350088730977,0.277469037336324,0.0507923135286923,0.381282731559314
"ORNL_029-O-9-2-20140714",0.0473495733067616,0.135127632872051,0.473440811375965,0.032451641876266,0.311630340568956
"ORNL_031-O-11-3-20140714",0.0726796280958052,0.24525771948391,0.218766908705099,0.0482592399135369,0.415036503801649
"ORNL_037-O-4-23-20140715",0.0611930286397336,0.148082290622009,0.41438621287174,0.0726644898704151,0.303673977996102
"ORNL_043-O-2-27-20140715",0.0778962299805006,0.198779486973055,0.324156359007073,0.0917533298920307,0.307414594147341
"OSBS_001-M-17-34-20140701",0.0641215868099416,0.127616254296093,0.397502391217114,0.107606349953943,0.303153417722909
"OSBS_001-M-17-34-20140818",0.0591083224268305,0.114240725812598,0.428173991447232,0.0962511770645429,0.302225783248797
"OSBS_001-M-26-3-20140701",0.0607429771111397,0.119036842538251,0.422249390590201,0.0959856052440094,0.301985184516398
"OSBS_001-M-26-3-20140818",0.0593310444618807,0.114731909094896,0.42804493979837,0.0956891601680616,0.302202946476792
"OSBS_001-M-29-2-20140701",0.0589715836532622,0.116920286841407,0.43252745833125,0.0927939804295065,0.298786690744573
"OSBS_001-M-29-2-20140818",0.0596865059703268,0.121883400169817,0.433549582716401,0.0883407928462327,0.296539718297222
"OSBS_002-M-12-7-20140701",0.0450561366935589,0.0848586225755954,0.52814046655632,0.0600192669607366,0.281925507213789
"OSBS_002-M-12-7-20140818",0.0510904610036813,0.0866608093090518,0.476520369194611,0.0813407511025417,0.304387609390115
"OSBS_002-M-35-24-20140701",0.0476710160309294,0.0915208142490274,0.508569128656479,0.0671144504941569,0.285124590569408
"OSBS_002-M-35-24-20140818",0.0502029887747133,0.0944817125156883,0.491858236910047,0.0706588999926517,0.292798161806899
"OSBS_002-M-5-26-20140701",0.0481995428955289,0.0917834917235685,0.505768679446538,0.0681080368335203,0.286140249100844
"OSBS_003-M-17-9-20140701",0.0686819442585883,0.137764583205456,0.322042682773537,0.109474761549102,0.362036028213317
"OSBS_003-M-17-9-20140818",0.0671181776102059,0.127807646457643,0.323030977638143,0.112689446980281,0.369353751313728
