"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"JERC_006",0.0531099080266309,0.0210314739541252,0.022867852036186,0.0173741456303047,0.617112007987071,0.0461985684310255,0.0610257772143067,0.0225531581680899,0.0600530910363478,0.078674017515912
"JERC_008",0.052012095277159,0.0206936732330503,0.0226980856658135,0.0163144727830972,0.622714472058228,0.0468166786151433,0.0585578264331967,0.0215089439985025,0.0599752151878553,0.0787085367479545
"JERC_047",0.0533827967989387,0.0217548427264412,0.0239922586325212,0.0157671438985259,0.616716746883146,0.0507854794140393,0.057204546573449,0.0214417979703102,0.0591235470318839,0.0798308400707443
"JERC_048",0.0530519110151515,0.0211386316061263,0.0229520575882999,0.0165328984412497,0.617310612768306,0.0483435220854614,0.0595747256378349,0.0218593170833841,0.0598985528240839,0.0793377709501024
"JERC_049",0.0536143095252627,0.0212575993359037,0.0230326963301075,0.0175761231531087,0.613245578576321,0.0478356872884648,0.0613581898589785,0.0224261611692901,0.0606091677023579,0.0790444870602054
"ORNL_001",0.105199768601094,0.160224262867391,0.0517878378649206,0.0494645886946362,0.30933418065006,0.0940633828530071,0.0744983526757174,0.0585351267771511,0.0360300979283183,0.0608624010877043
"ORNL_003",0.100475521646708,0.15107216549775,0.0512145311597702,0.0499850617427759,0.33525012007768,0.085190285309046,0.0730603942130972,0.0570558323441682,0.0362480583381198,0.0604480296708851
"ORNL_021",0.130420424279789,0.220169735017507,0.060296526860809,0.0635838935438411,0.145547347572626,0.150804501855475,0.0803751930430441,0.0682572266349697,0.0267220014840578,0.053823149707882
"ORNL_029",0.110067774298728,0.173400210786902,0.0558921391148128,0.0528416801986384,0.270010290679537,0.109862268434799,0.0748699302764056,0.0601220342934063,0.0340323527859281,0.0589013191308422
"ORNL_031",0.137732290396691,0.248824555385354,0.0613315670626356,0.0661497130826508,0.0901161371979433,0.180554291202332,0.0772649365412891,0.0684169057826183,0.0211929319261547,0.0484166714223316
