"","mean.other","mean.Saprotroph","mean.Ectomycorrhizal","mean.Wood_Saprotroph","mean.Animal_Pathogen","mean.Plant_Pathogen"
"OSBS_002-M-5-26-20140701",0.0730931340455889,0.233357436191096,0.605177176731193,0.0525223170073711,0.0160528061236181,0.0197971299011324
"OSBS_003-M-17-9-20140701",0.126685547188277,0.434355697632289,0.294330011065417,0.0847417655985026,0.0235838713425106,0.036303107173004
"OSBS_003-M-17-9-20140818",0.121013304136566,0.415416908322468,0.329578969219582,0.0786556024766884,0.0222063762890966,0.0331288395555991
"OSBS_003-M-9-11-20140818",0.118041965525807,0.410999903778727,0.33455709528601,0.0799281653579641,0.0223207367143508,0.0341521333371401
"OSBS_022-M-15-33-20140701",0.105277476593605,0.325351629926737,0.442296589776949,0.0755104137900736,0.0221673132637457,0.0293965766488899
"OSBS_022-M-21-39-20140701",0.126965211623614,0.37856246697287,0.34821584451117,0.0871524087259293,0.0253685439500394,0.0337355242163769
"SCBI_002-M-1-6-20140715",0.155509829183871,0.568564687135259,0.0460318061597857,0.109568120414657,0.0333489078313849,0.0869766492750424
"SCBI_002-M-17-34-20140618",0.156878494273529,0.569154901695982,0.0436264153424975,0.109775314139252,0.0333698604855419,0.0871950140631969
"SCBI_002-M-26-3-20140618",0.154685387740195,0.567440521660096,0.0479014762514243,0.109734228620411,0.0334030795925088,0.086835306135365
"SCBI_002-M-29-2-20140618",0.15112436239966,0.56361891881014,0.0556387545830079,0.109277096085046,0.0334160042191837,0.086924863902962
"SCBI_002-M-7-5-20140715",0.15736805392418,0.57015998386328,0.0425627508323496,0.109492994669339,0.033322871311264,0.087093345399588
"SCBI_002-M-9-17-20140715",0.154450549149444,0.567136545434324,0.0483695696090506,0.109644528013679,0.0333622327857867,0.0870365750077161
"SCBI_003-M-11-0-20140715",0.154916378464409,0.468475565088264,0.183848553063312,0.0989226977630416,0.0339858800100441,0.0598509256109286
"SCBI_003-M-13-6-20140618",0.150061321749916,0.45938537095165,0.20073117304547,0.0973557991451082,0.0334347980136379,0.0590315370942181
"SCBI_003-M-27-36-20140715",0.152029054724559,0.463459536249624,0.193171390111014,0.098222209433899,0.0336895233494719,0.0594282861314316
"SCBI_003-M-30-5-20140715",0.169719255090346,0.495019388899283,0.134231669339995,0.102696739986222,0.0355482533877297,0.0627846932964248
"SCBI_003-M-35-24-20140618",0.143123454460878,0.443877113285757,0.22794819721002,0.0948099922846144,0.032674049416665,0.0575671933420643
"SCBI_003-M-5-26-20140618",0.134890231830826,0.42570928435991,0.260523308665961,0.0917328102777978,0.0316334266201248,0.0555109382453803
"SCBI_006-M-1-7-20140715",0.153660848042008,0.566371147562595,0.0486080298734973,0.110137083747292,0.0335063668258596,0.0877165239487476
"SCBI_006-M-15-7-20140827",0.158382850380096,0.572527018509682,0.0386155511276826,0.109218984489967,0.0334027635683453,0.0878528319242266
"SCBI_006-M-17-9-20140618",0.153851379012837,0.566913915763265,0.0478655500892084,0.110281208068062,0.0333989081986381,0.0876890388679897
"SCBI_006-M-27-2-20140715",0.153587702367844,0.567145034307996,0.0482031156911117,0.110031606893665,0.0334526808433842,0.0875798598959993
"SCBI_006-M-29-37-20140618",0.156440554259939,0.570135224535436,0.0421029478601722,0.11008279832239,0.0333847791379362,0.0878536958841255
"SCBI_006-M-3-26-20140715",0.157280218358242,0.57122751607287,0.0402122961230782,0.110071709617769,0.0333302345813285,0.0878780252467124
"SCBI_006-M-33-11-20140826",0.157352445883836,0.570978345882564,0.0402542207981058,0.110250634700486,0.0332889965250898,0.0878753562099173
"SCBI_006-M-4-7-20140826",0.157799225338544,0.571131652691231,0.0392691581961021,0.110238308640841,0.0334584991526334,0.0881031559806487
"SCBI_006-M-9-11-20140618",0.157503664515161,0.570881653064353,0.0405048501732574,0.109857873370519,0.0333849161308578,0.0878670427458514
"SCBI_012-M-0-30-20140825",0.157159539826878,0.570394936982389,0.0410612535740875,0.110038106570855,0.0333872681748111,0.0879588948709794
"SCBI_012-M-15-33-20140618",0.152471495189987,0.56582682826753,0.0508715402168402,0.109805901652128,0.0334393685123983,0.0875848661611168
"SCBI_012-M-16-7-20140825",0.15557414214246,0.568933130308074,0.0432146999145511,0.110342017907161,0.0335687957109087,0.0883672140168455
"SCBI_012-M-19-40-20140715",0.152265645167789,0.565981536156626,0.0506774265175714,0.109898543663368,0.0333903842478032,0.0877864642468427
"SCBI_012-M-2-33-20140618",0.154017684672539,0.567681747903343,0.0472974987679459,0.109790942590971,0.0333624049352491,0.0878497211299517
"SCBI_012-M-21-38-20140715",0.16008185674943,0.572735843339518,0.0359517992467392,0.109714575794728,0.0334759905325143,0.0880399343370707
"SCBI_012-M-21-39-20140618",0.153609617109925,0.56738935758527,0.0478113307234338,0.110013361889848,0.0333924522991105,0.0877838803924136
"SCBI_012-M-33-4-20140715",0.154197831997203,0.567727555457313,0.0468915241208066,0.10997629924275,0.0333953857606497,0.0878114034212779
"SCBI_033-M-36-16-20140826",0.156042044084473,0.569482047615225,0.0429834550496921,0.109874095118298,0.033468200147222,0.0881501579850897
"SCBI_033-M-4-38-20140826",0.158758839741317,0.573165675993542,0.0381763769865566,0.109884258523357,0.0331845499982917,0.0868302987569362
"SCBI_033-M-6-12-20140826",0.158577360924616,0.57194371256523,0.0377359986643045,0.110631702715202,0.0332589821889506,0.0878522429416969
"SCBI_045-M-23-30-20140825",0.160118310109883,0.57646339216253,0.0349722679582273,0.108876094319819,0.0329686754494308,0.0866012600001098
"SCBI_045-M-30-38-20140825",0.160049044311389,0.576459647741649,0.0353122362139486,0.108492730386102,0.0329906919035583,0.0866956494433532
"SCBI_045-M-31-2-20140825",0.15918709436013,0.575019642038719,0.036174785100099,0.10898682991096,0.0331720044467467,0.0874596441433453
"STER_005-M-0-30-20140820",0.206006258927268,0.456438306894051,0.104820937324899,0.110281756888354,0.034648345546103,0.0878043944193257
"STER_005-M-16-7-20140820",0.200520263015279,0.450802313618531,0.117939877570255,0.109450765916657,0.0344671611570749,0.0868196187222027
"STER_005-M-23-38-20140820",0.203974160443546,0.454757539603992,0.109910859726018,0.109495592813764,0.0345644517662121,0.0872973956464676
"STER_006-M-1-6-20140722",0.223544622470396,0.473662537545793,0.0670559347088644,0.11127491922192,0.0351619909976865,0.089299995055341
"STER_006-M-22-32-20140820",0.222006098211733,0.471787386927741,0.0704317431092375,0.111274830308185,0.0351719184028105,0.0893280230402929
"STER_006-M-30-37-20140820",0.22348684635626,0.473590993855928,0.0669499887970652,0.111335495472602,0.0351243954486784,0.0895122800694673
"STER_006-M-7-0-20140820",0.220231416592427,0.47073795695583,0.0737020199021486,0.111235752790982,0.0350700045166734,0.0890228492419391
"STER_006-M-7-5-20140722",0.222564784315537,0.472086476683953,0.0696901259727538,0.111313898716017,0.035087023130603,0.0892576911811364
"STER_006-M-9-17-20140722",0.220001661444358,0.47103135986998,0.0736411285579446,0.111121543241007,0.0350364180569199,0.0891678888297909
"STER_007-M-17-3-20140724",0.211395637532849,0.462428825391127,0.0903808383773753,0.111738949405486,0.0349943133430085,0.0890614359501539
"STER_018-M-15-7-20140820",0.21378952644273,0.465198782787531,0.0866130256938836,0.111063476717222,0.0349863308472573,0.0883488575113762
"STER_018-M-4-7-20140820",0.222071323060766,0.471636427448775,0.070091586382873,0.11169266126977,0.0352601082786686,0.0892478935591468
"STER_026-M-10-34-20140820",0.21784026838756,0.469042386834459,0.0807320420571821,0.109995807456352,0.034841544602656,0.0875479506617902
"STER_026-M-11-0-20140722",0.221153601257407,0.472462474440806,0.0734128429209718,0.11050755058998,0.034726031346274,0.0877374994445616
"STER_026-M-27-36-20140722",0.220991531369882,0.472216914436591,0.0759427362951145,0.109374367011221,0.034681647094101,0.0867928037930904
"STER_026-M-9-4-20140820",0.223780352644218,0.473922805561395,0.0689033747932442,0.110512798859841,0.0349408502007243,0.0879398179405765
"STER_027-M-3-26-20140723",0.201638112943985,0.452147978804988,0.111756545768506,0.111129376301448,0.0347016724451615,0.0886263137359114
"STER_027-M-33-0-20140723",0.211776327871639,0.46304710024137,0.0952314111366181,0.109245644515787,0.0344585982968932,0.0862409179376929
"STER_028-M-20-40-20140722",0.199586192239893,0.450199802920846,0.110386475653759,0.113194840350088,0.0352050480824908,0.0914276407529224
"STER_028-M-21-38-20140722",0.202807954302055,0.453313694694614,0.106417773618977,0.112270023866338,0.0350923729872507,0.0900981805307652
"STER_028-M-33-4-20140722",0.209846462302603,0.461735927123056,0.0942532616983141,0.110858642657925,0.0348136162982714,0.0884920899198304
"STER_029-M-33-2-20140724",0.215520066733312,0.46581094796578,0.074011735577495,0.115129345457265,0.0358232197992568,0.0937046844668912
"STER_031-M-2-0-20140723",0.221301993259518,0.470637669719316,0.0636012730770662,0.114984511416188,0.0359040262908505,0.0935705262370611
"STER_033-M-23-30-20140723",0.210426408128116,0.461964179029355,0.0895542571186279,0.112383583348881,0.0351903125956883,0.0904812597793311
"STER_033-M-30-38-20140723",0.206307933192109,0.457388032969323,0.0995503997343114,0.112050208629746,0.035094607859886,0.0896088176146253
"STER_033-M-33-4-20140723",0.196239639762766,0.44532731919978,0.130338962690782,0.108043877138715,0.0341374238535756,0.085912777354382
"STER_034-M-19-30-20140723",0.189270339480742,0.435203293136131,0.15353908000513,0.105875135155542,0.0333596512801429,0.0827525009423113
"STER_034-M-23-8-20140723",0.193181966550004,0.441897159616638,0.142573263199968,0.105770736089474,0.0334953277108939,0.0830815468330219
"STER_035-M-18-37-20140723",0.186954408110324,0.434368101104783,0.151535915539392,0.107698895672118,0.0338287664120365,0.0856139131613469
"STER_035-M-2-27-20140723",0.18940318555392,0.436768587734826,0.135038900606175,0.1126723104964,0.0350559916681746,0.091061023940505
"STER_035-M-33-17-20140723",0.18965840800343,0.43725973740944,0.127910328937322,0.115222153715127,0.0357026936314788,0.0942466783032014
"TALL_001-M-14-7-20140804",0.164265568025805,0.537864136224394,0.107491629361786,0.108077876931923,0.0290063310147998,0.0532944584412927
"TALL_001-M-15-1-20140804",0.164339622874635,0.538096117061249,0.106816398981889,0.108359848627399,0.0288850431876621,0.0535029692671646
"TALL_001-M-22-32-20140708",0.16439834557005,0.536098572373717,0.110555788287823,0.10931772722696,0.028182092337208,0.0514474742042425
