"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"HARV_004-M-25-6-20140715",0.141259219890457,0.23032668340204,0.0778087929789726,0.0570640300578467,0.148750714797567,0.112688575161161,0.066288186556133,0.0948139789422783,0.0240070285240503,0.0469927896894936
"HARV_004-M-3-28-20140812",0.131008799326949,0.211822644241546,0.0665513297141038,0.057480413292894,0.184976187545158,0.0987636907724175,0.0775690428634402,0.0994694984422303,0.0250620429231666,0.0472963508780946
"HARV_004-M-9-34-20140812",0.13172536334876,0.212509639214662,0.0667598277562997,0.058187475497247,0.183272945959623,0.0980567292565338,0.077526477412072,0.100156153767669,0.0250125520267613,0.0467928357603718
"HARV_004-M-9-4-20140715",0.143700764075218,0.223549146633325,0.0715505926352562,0.0655947415690349,0.150217385834876,0.102114227397162,0.072359270511319,0.0992789402396439,0.0251583992352199,0.0464765318689448
"HARV_004-O-10-34-20140715",0.101398534076914,0.183802049578133,0.0560070240767579,0.038874278443883,0.275721730998977,0.0902532114273763,0.0857523945403393,0.0964872062153607,0.02372319596871,0.0479803746735497
"HARV_004-O-19-1-20140812",0.131241710206207,0.210615161255903,0.0662510328723679,0.0582925607920399,0.185797810859459,0.0978373034016283,0.0777951075359795,0.0996756594963668,0.025179963434259,0.0473136901457893
"HARV_004-O-25-6-20140715",0.104176733046324,0.192011187554243,0.0612309690023542,0.0376713650039345,0.260131962320041,0.098991065749744,0.0799431498087844,0.0939325439813179,0.0232251876924502,0.0486858358408068
"HARV_004-O-3-28-20140812",0.131550957630121,0.211907432889869,0.0664048539550835,0.0585010543546847,0.184520330995769,0.0970718819101331,0.0779414254751304,0.100062830736167,0.0250872779716581,0.0469519540813842
"HARV_010-M-2-0-20140715",0.100129641062538,0.13009119994857,0.0498924031464928,0.0534491776920099,0.385317735096733,0.0469624323931903,0.0667962366601623,0.0798629204691499,0.0391059224694772,0.0483923310616767
"HARV_010-M-8-11-20140715",0.097785362848237,0.124547590559177,0.046137098464337,0.0561554176118612,0.393756985283404,0.0434798055807286,0.0700430828356249,0.0810301857420982,0.0395861375373331,0.0474783335371984
"HARV_010-O-2-0-20140715",0.0579890256769892,0.0875949876115366,0.0318836987163451,0.0262283072535004,0.564400839142494,0.0341491206728589,0.0642822471279626,0.0629089627709025,0.0298083263682283,0.0407544846591819
