"","mean.other","mean.Saprotroph","mean.Ectomycorrhizal","mean.Wood_Saprotroph","mean.Animal_Pathogen","mean.Plant_Pathogen"
"UNDE_013",0.207610903616748,0.480041284694836,0.106588836152994,0.104977070461444,0.0377833523955511,0.0629985526784276
"UNDE_014",0.207404586875493,0.477002576088058,0.111417671283636,0.10413621311599,0.0376309319855853,0.0624080206512369
"UNDE_017",0.208389724936198,0.479538333515187,0.110020483048369,0.103299651098966,0.0374845539400823,0.0612672534611972
"UNDE_019",0.207203702393278,0.479651845468406,0.109174494365565,0.104540895570915,0.0373830224755879,0.0620460397262475
"UNDE_027",0.207454872788904,0.479870204315472,0.1071605493443,0.10470456789336,0.037959283271822,0.0628505223861424
"UNDE_032",0.207694525979894,0.476803105441999,0.112654128618541,0.103591177575546,0.0374369107951385,0.0618201515888813
"UNDE_034",0.207491172931777,0.478399608576746,0.106968223986964,0.105263207724834,0.0381555688912439,0.0637222178884351
"UNDE_035",0.20739523793851,0.478281164481772,0.112084531270535,0.102870049491935,0.0373762109215034,0.0619928058957442
"UNDE_037",0.20744166721928,0.543308365363375,0.0269679088500003,0.107922061796305,0.0354714326411424,0.0788885641298973
"UNDE_043",0.185326764603407,0.379640375351022,0.265199021164527,0.0895102294244193,0.0357635665644822,0.0445600428921426
"UNDE_044",0.170091447388213,0.33658620779985,0.339979359075167,0.0814807488379352,0.0334743128558299,0.0383879240430059
"WOOD_001",0.239555739197216,0.383761037586054,0.0845039734947699,0.143661014695496,0.043553508888424,0.104964726138041
"WOOD_002",0.237576093182936,0.382591300839761,0.0888424022663248,0.143614849963261,0.0432909947836661,0.104084358964051
"WOOD_003",0.2404540946493,0.384271174275297,0.0834864063451002,0.143126723532475,0.0438404393119403,0.104821161885888
"WOOD_005",0.235936865705585,0.380581250861848,0.092750273790984,0.141997685998611,0.0438746003037116,0.10485932333926
"WOOD_021",0.238040193950549,0.382717122283323,0.0886200587009273,0.142269832675764,0.0435465081343858,0.104806284255051
"WOOD_022",0.233569391165379,0.379546571611789,0.0975988954039876,0.142516756059746,0.0432473153704693,0.103521070388629
"WOOD_024",0.236400100201297,0.381452529362011,0.0908120140272295,0.14352350914699,0.0435113756066777,0.104300471655795
"WOOD_042",0.243019570196188,0.385783410587885,0.0793488421880774,0.14332127671278,0.043543586273382,0.104983314041688
"WOOD_043",0.238309376336528,0.382241767315899,0.0869862226859015,0.143195897826317,0.0437610471482548,0.105505688687099
"WOOD_044",0.239659535186374,0.383617132519057,0.0842044772343051,0.142960388785065,0.0438194272403979,0.105739039034801
